problem_id,strategy,status,passed,tokens,time,iterations,error_message,total_tests,passed_tests,failed_tests
problem-0,zero-shot,failed,False,150,0.5,1,,3,0,3
problem-1,zero-shot,success,True,160,0.6,1,,3,3,0
problem-2,zero-shot,success,True,170,0.7,1,,3,3,0
problem-3,zero-shot,failed,False,180,0.8,1,,3,0,3
problem-4,zero-shot,success,True,190,0.9,1,,3,3,0
problem-5,zero-shot,success,True,200,1.0,1,,3,3,0
problem-6,zero-shot,failed,False,210,1.1,1,,3,0,3
problem-7,zero-shot,success,True,220,1.2,1,,3,3,0
problem-8,zero-shot,success,True,230,1.3,1,,3,3,0
problem-9,zero-shot,failed,False,240,1.4,1,,3,0,3
problem-0,few-shot,failed,False,250,0.6,1,,3,0,3
problem-1,few-shot,success,True,265,0.72,1,,3,3,0
problem-2,few-shot,success,True,280,0.84,1,,3,3,0
problem-3,few-shot,success,True,295,0.96,1,,3,3,0
problem-4,few-shot,failed,False,310,1.08,1,,3,0,3
problem-5,few-shot,success,True,325,1.2,1,,3,3,0
problem-6,few-shot,success,True,340,1.32,1,,3,3,0
problem-7,few-shot,success,True,355,1.44,1,,3,3,0
problem-8,few-shot,failed,False,370,1.56,1,,3,0,3
problem-9,few-shot,success,True,385,1.68,1,,3,3,0
problem-0,self-refine,success,True,750,1.5,3,,3,3,0
problem-1,self-refine,failed,False,774,1.7,3,,3,0,3
problem-2,self-refine,success,True,798,1.9,3,,3,3,0
problem-3,self-refine,failed,False,822,2.1,3,,3,0,3
problem-4,self-refine,success,True,846,2.3,3,,3,3,0
problem-5,self-refine,failed,False,870,2.5,3,,3,0,3
problem-6,self-refine,success,True,894,2.7,3,,3,3,0
problem-7,self-refine,failed,False,918,2.9,3,,3,0,3
problem-8,self-refine,success,True,942,3.1,3,,3,3,0
problem-9,self-refine,failed,False,966,3.3,3,,3,0,3
